date,broker,category,product,net_position_text,contract,long_position,long_change,short_position,short_change
2026-03-27,摩根大通,农副,花生,"净多13583
(减少754)
净持仓数据",pk2605,11309,-1577,0,0
2026-03-27,摩根大通,农副,花生,"净多13583
(减少754)
净持仓数据",pk2610,2274,823,0,0
2026-03-27,摩根大通,化工,20号胶,"净多2273
(增加135)
净持仓数据",nr2605,0,-752,0,0
2026-03-27,摩根大通,化工,20号胶,"净多2273
(增加135)
净持仓数据",nr2606,2985,803,712,-84
2026-03-27,摩根大通,化工,PTA,"净多27931
(减少185)
净持仓数据",ta2605,10690,0,0,0
2026-03-27,摩根大通,化工,PTA,"净多27931
(减少185)
净持仓数据",ta2609,17241,-185,0,0
2026-03-27,摩根大通,原油,低硫油,"净多13
(减少2162)
净持仓数据",lu2605,0,0,975,-117
2026-03-27,摩根大通,原油,低硫油,"净多13
(减少2162)
净持仓数据",lu2606,988,-2279,0,0
2026-03-27,摩根大通,油脂油料,豆粕,"净空17647
(增加8623)
净持仓数据",m2605,48679,-34685,38338,-1923
2026-03-27,摩根大通,油脂油料,豆粕,"净空17647
(增加8623)
净持仓数据",m2607,0,0,6840,0
2026-03-27,摩根大通,油脂油料,豆粕,"净空17647
(增加8623)
净持仓数据",m2609,31369,20760,53005,-3374
2026-03-27,摩根大通,油脂油料,豆粕,"净空17647
(增加8623)
净持仓数据",m2701,1583,5,1095,0
2026-03-27,摩根大通,油脂油料,菜油,"净多21893
(减少789)
净持仓数据",oi2605,14811,-5822,6092,-1027
2026-03-27,摩根大通,油脂油料,菜油,"净多21893
(减少789)
净持仓数据",oi2607,4585,198,0,0
2026-03-27,摩根大通,油脂油料,菜油,"净多21893
(减少789)
净持仓数据",oi2609,8589,3808,0,0
2026-03-27,摩根大通,油脂油料,棕榈油,"净多23364
(减少2516)
净持仓数据",p2605,29243,437,3452,-467
2026-03-27,摩根大通,油脂油料,棕榈油,"净多23364
(减少2516)
净持仓数据",p2609,1694,-2995,4121,425
2026-03-27,摩根大通,油脂油料,菜粕,"净空16367
(增加11763)
净持仓数据",rm2605,6022,-9774,13534,-61
2026-03-27,摩根大通,油脂油料,菜粕,"净空16367
(增加11763)
净持仓数据",rm2609,0,0,8855,2050
2026-03-27,摩根大通,油脂油料,豆油,"净多39218
(增加6724)
净持仓数据",y2605,42974,-168,0,-5330
2026-03-27,摩根大通,油脂油料,豆油,"净多39218
(增加6724)
净持仓数据",y2607,0,0,259,0
2026-03-27,摩根大通,油脂油料,豆油,"净多39218
(增加6724)
净持仓数据",y2609,9052,777,12549,-785
2026-03-27,摩根大通,油脂油料,豆一,"净多10153
(减少451)
净持仓数据",a2605,12956,-452,2803,-1
2026-03-27,摩根大通,油脂油料,豆二,"净多11301
(增加2490)
净持仓数据",b2605,16121,-318,6358,-1711
2026-03-27,摩根大通,油脂油料,豆二,"净多11301
(增加2490)
净持仓数据",b2606,0,0,1000,1000
2026-03-27,摩根大通,油脂油料,豆二,"净多11301
(增加2490)
净持仓数据",b2607,1100,0,0,0
2026-03-27,摩根大通,油脂油料,豆二,"净多11301
(增加2490)
净持仓数据",b2609,1438,302,0,-1795
2026-03-27,摩根大通,股指,1000中证,"净空4699
(减少26)
净持仓数据",im2604,1725,56,0,0
2026-03-27,摩根大通,股指,1000中证,"净空4699
(减少26)
净持仓数据",im2606,0,0,5151,46
2026-03-27,摩根大通,股指,1000中证,"净空4699
(减少26)
净持仓数据",im2609,0,0,1273,-16
2026-03-27,摩根大通,股指,500中证,"净空1974
(增加49)
净持仓数据",ic2604,2662,-24,0,0
2026-03-27,摩根大通,股指,500中证,"净空1974
(增加49)
净持仓数据",ic2606,0,0,2848,23
2026-03-27,摩根大通,股指,500中证,"净空1974
(增加49)
净持仓数据",ic2609,0,0,1788,2
2026-03-27,摩根大通,股指,300沪深,"净空5344
(增加27)
净持仓数据",if2604,0,0,830,0
2026-03-27,摩根大通,股指,300沪深,"净空5344
(增加27)
净持仓数据",if2606,0,0,3766,26
2026-03-27,摩根大通,股指,300沪深,"净空5344
(增加27)
净持仓数据",if2609,0,0,748,1
2026-03-27,摩根大通,谷物,淀粉,"净多603
(增加1)
净持仓数据",cs2609,603,1,0,0
2026-03-27,摩根大通,贵金属,沪金,"净空103
净持仓数据",au2604,0,0,103,0
2026-03-27,摩根大通,黑色,铁矿石,"净多26950
(增加73)
净持仓数据",i2605,11555,-2865,0,0
2026-03-27,摩根大通,黑色,铁矿石,"净多26950
(增加73)
净持仓数据",i2609,14685,2876,0,0
2026-03-27,摩根大通,黑色,铁矿石,"净多26950
(增加73)
净持仓数据",i2701,710,62,0,0
2026-03-27,国泰君安,农副,苹果,"净多2296
(减少208)
净持仓数据",ap2604,0,0,6,-4
2026-03-27,国泰君安,农副,苹果,"净多2296
(减少208)
净持仓数据",ap2605,5197,-167,5203,430
2026-03-27,国泰君安,农副,苹果,"净多2296
(减少208)
净持仓数据",ap2610,3170,458,862,73
2026-03-27,国泰君安,农副,鸡蛋,"净多3710
(减少1810)
净持仓数据",jd2605,12980,-2079,8418,-484
2026-03-27,国泰君安,农副,鸡蛋,"净多3710
(减少1810)
净持仓数据",jd2606,15831,703,16844,256
2026-03-27,国泰君安,农副,鸡蛋,"净多3710
(减少1810)
净持仓数据",jd2607,9995,-268,11149,436
2026-03-27,国泰君安,农副,鸡蛋,"净多3710
(减少1810)
净持仓数据",jd2608,11143,47,9508,67
2026-03-27,国泰君安,农副,鸡蛋,"净多3710
(减少1810)
净持仓数据",jd2609,1237,-90,1557,-152
2026-03-27,国泰君安,农副,花生,"净多9951
(减少1125)
净持仓数据",pk2604,2535,-15,170,-332
2026-03-27,国泰君安,农副,花生,"净多9951
(减少1125)
净持仓数据",pk2605,14506,-2383,7178,-749
2026-03-27,国泰君安,农副,花生,"净多9951
(减少1125)
净持仓数据",pk2610,2240,206,1982,14
2026-03-27,国泰君安,农副,红枣,"净空4951
(减少502)
净持仓数据",cj2605,5738,-246,7498,-454
2026-03-27,国泰君安,农副,红枣,"净空4951
(减少502)
净持仓数据",cj2609,3735,320,6926,26
2026-03-27,国泰君安,农副,生猪,"净空25220
(减少434)
净持仓数据",lh2605,11029,-1,22969,-1624
2026-03-27,国泰君安,农副,生猪,"净空25220
(减少434)
净持仓数据",lh2607,5404,242,9982,1225
2026-03-27,国泰君安,农副,生猪,"净空25220
(减少434)
净持仓数据",lh2609,4593,166,8430,239
2026-03-27,国泰君安,农副,生猪,"净空25220
(减少434)
净持仓数据",lh2611,4684,84,7987,238
2026-03-27,国泰君安,农副,生猪,"净空25220
(减少434)
净持仓数据",lh2701,1320,70,2882,49
2026-03-27,国泰君安,化工,PVC,"净空86016
(增加4327)
净持仓数据",v2609,14403,1262,47185,7293
2026-03-27,国泰君安,化工,PVC,"净空86016
(增加4327)
净持仓数据",v2701,3737,945,3465,355
2026-03-27,国泰君安,化工,PVC,"净空86016
(增加4327)
净持仓数据",v2604,961,-51,956,-22
2026-03-27,国泰君安,化工,PVC,"净空86016
(增加4327)
净持仓数据",v2605,34895,706,91530,-389
2026-03-27,国泰君安,化工,PVC,"净空86016
(增加4327)
净持仓数据",v2606,11794,68,11169,22
2026-03-27,国泰君安,化工,PVC,"净空86016
(增加4327)
净持仓数据",v2607,9929,44,6962,66
2026-03-27,国泰君安,化工,PVC,"净空86016
(增加4327)
净持仓数据",v2608,4183,-34,4651,-58
2026-03-27,国泰君安,化工,甲醇,"净多86267
(增加9646)
净持仓数据",ma2605,121485,11625,43447,878
2026-03-27,国泰君安,化工,甲醇,"净多86267
(增加9646)
净持仓数据",ma2606,1196,-414,886,-1
2026-03-27,国泰君安,化工,甲醇,"净多86267
(增加9646)
净持仓数据",ma2607,548,1,1687,-291
2026-03-27,国泰君安,化工,甲醇,"净多86267
(增加9646)
净持仓数据",ma2608,887,185,449,10
2026-03-27,国泰君安,化工,甲醇,"净多86267
(增加9646)
净持仓数据",ma2609,18310,2104,13829,2284
2026-03-27,国泰君安,化工,甲醇,"净多86267
(增加9646)
净持仓数据",ma2610,1089,-492,833,362
2026-03-27,国泰君安,化工,甲醇,"净多86267
(增加9646)
净持仓数据",ma2701,3593,-126,975,12
2026-03-27,国泰君安,化工,甲醇,"净多86267
(增加9646)
净持仓数据",ma2604,1271,17,6,0
2026-03-27,国泰君安,化工,天然橡胶,"净空12853
(增加104)
净持仓数据",ru2701,603,25,1028,18
2026-03-27,国泰君安,化工,天然橡胶,"净空12853
(增加104)
净持仓数据",ru2605,6984,-1387,14585,-1008
2026-03-27,国泰君安,化工,天然橡胶,"净空12853
(增加104)
净持仓数据",ru2609,11269,1120,16096,852
2026-03-27,国泰君安,化工,纯碱,"净空43858
(减少5214)
净持仓数据",sa2604,849,-1,42,0
2026-03-27,国泰君安,化工,纯碱,"净空43858
(减少5214)
净持仓数据",sa2605,34382,378,60078,-2740
2026-03-27,国泰君安,化工,纯碱,"净空43858
(减少5214)
净持仓数据",sa2606,0,0,907,5
2026-03-27,国泰君安,化工,纯碱,"净空43858
(减少5214)
净持仓数据",sa2607,1572,-562,8278,-2
2026-03-27,国泰君安,化工,纯碱,"净空43858
(减少5214)
净持仓数据",sa2608,504,-112,2030,2
2026-03-27,国泰君安,化工,纯碱,"净空43858
(减少5214)
净持仓数据",sa2609,10499,1272,19352,-1260
2026-03-27,国泰君安,化工,纯碱,"净空43858
(减少5214)
净持仓数据",sa2610,621,4,312,2
2026-03-27,国泰君安,化工,纯碱,"净空43858
(减少5214)
净持仓数据",sa2611,3093,7,5091,0
2026-03-27,国泰君安,化工,纯碱,"净空43858
(减少5214)
净持仓数据",sa2701,1065,252,353,17
2026-03-27,国泰君安,化工,20号胶,"净空3559
(增加187)
净持仓数据",nr2604,144,-17,462,-247
2026-03-27,国泰君安,化工,20号胶,"净空3559
(增加187)
净持仓数据",nr2605,4977,-164,6514,-150
2026-03-27,国泰君安,化工,20号胶,"净空3559
(增加187)
净持仓数据",nr2606,3606,137,5310,540
2026-03-27,国泰君安,化工,烧碱,"净空1614
(增加3407)
净持仓数据",sh2604,390,35,31,-29
2026-03-27,国泰君安,化工,烧碱,"净空1614
(增加3407)
净持仓数据",sh2605,6187,-1129,8238,1997
2026-03-27,国泰君安,化工,烧碱,"净空1614
(增加3407)
净持仓数据",sh2606,1279,-88,371,-42
2026-03-27,国泰君安,化工,烧碱,"净空1614
(增加3407)
净持仓数据",sh2607,1066,109,1744,236
2026-03-27,国泰君安,化工,烧碱,"净空1614
(增加3407)
净持仓数据",sh2608,65,0,169,67
2026-03-27,国泰君安,化工,烧碱,"净空1614
(增加3407)
净持仓数据",sh2609,608,-88,656,17
2026-03-27,国泰君安,化工,合成橡胶,"净多3519
(减少2816)
净持仓数据",br2604,786,22,618,-93
2026-03-27,国泰君安,化工,合成橡胶,"净多3519
(减少2816)
净持仓数据",br2605,13836,-3413,8087,-482
2026-03-27,国泰君安,化工,合成橡胶,"净多3519
(减少2816)
净持仓数据",br2606,6571,0,8969,0
2026-03-27,国泰君安,化工,沥青,"净多7034
(增加4607)
净持仓数据",bu2604,411,-575,752,-699
2026-03-27,国泰君安,化工,沥青,"净多7034
(增加4607)
净持仓数据",bu2605,7613,1562,3044,174
2026-03-27,国泰君安,化工,沥青,"净多7034
(增加4607)
净持仓数据",bu2606,26942,4383,24136,1288
2026-03-27,国泰君安,化工,短纤,"净多1413
(增加275)
净持仓数据",pf2604,226,-49,502,-6
2026-03-27,国泰君安,化工,短纤,"净多1413
(增加275)
净持仓数据",pf2605,4401,-106,3818,-94
2026-03-27,国泰君安,化工,短纤,"净多1413
(增加275)
净持仓数据",pf2606,11322,1527,10597,-224
2026-03-27,国泰君安,化工,短纤,"净多1413
(增加275)
净持仓数据",pf2607,2259,-305,2000,990
2026-03-27,国泰君安,化工,短纤,"净多1413
(增加275)
净持仓数据",pf2608,593,66,471,192
2026-03-27,国泰君安,化工,纯苯,"净空4637
(减少419)
净持仓数据",bz2605,4529,852,9166,433
2026-03-27,国泰君安,化工,液化气,"净空3812
(减少2784)
净持仓数据",pg2605,4065,-35,7230,-2543
2026-03-27,国泰君安,化工,液化气,"净空3812
(减少2784)
净持仓数据",pg2606,4544,672,5311,376
2026-03-27,国泰君安,化工,液化气,"净空3812
(减少2784)
净持仓数据",pg2607,3249,1099,3129,1119
2026-03-27,国泰君安,化工,丙烯,"净空663
(增加130)
净持仓数据",pl2604,30,-12,0,-2
2026-03-27,国泰君安,化工,丙烯,"净空663
(增加130)
净持仓数据",pl2605,517,30,1210,150
2026-03-27,国泰君安,化工,PP,"净空3278
(减少271)
净持仓数据",pp2605,46888,1002,45116,970
2026-03-27,国泰君安,化工,PP,"净空3278
(减少271)
净持仓数据",pp2606,6485,0,9661,264
2026-03-27,国泰君安,化工,PP,"净空3278
(减少271)
净持仓数据",pp2607,4980,25,8777,23
2026-03-27,国泰君安,化工,PP,"净空3278
(减少271)
净持仓数据",pp2608,4906,24,8905,20
2026-03-27,国泰君安,化工,PP,"净空3278
(减少271)
净持仓数据",pp2609,21869,-1881,17345,-2512
2026-03-27,国泰君安,化工,PP,"净空3278
(减少271)
净持仓数据",pp2701,2209,43,811,177
2026-03-27,国泰君安,化工,塑料,"净空28540
(减少541)
净持仓数据",l2605,29670,2635,55297,769
2026-03-27,国泰君安,化工,塑料,"净空28540
(减少541)
净持仓数据",l2606,5294,20,5214,0
2026-03-27,国泰君安,化工,塑料,"净空28540
(减少541)
净持仓数据",l2607,3928,20,3926,19
2026-03-27,国泰君安,化工,塑料,"净空28540
(减少541)
净持仓数据",l2608,3406,45,3508,47
2026-03-27,国泰君安,化工,塑料,"净空28540
(减少541)
净持仓数据",l2609,17893,-1209,20786,135
2026-03-27,国泰君安,化工,PTA,"净空4019
(减少8424)
净持仓数据",ta2604,9495,-647,9060,-1813
2026-03-27,国泰君安,化工,PTA,"净空4019
(减少8424)
净持仓数据",ta2605,138438,15233,134196,-9017
2026-03-27,国泰君安,化工,PTA,"净空4019
(减少8424)
净持仓数据",ta2606,3749,-85,10774,2981
2026-03-27,国泰君安,化工,PTA,"净空4019
(减少8424)
净持仓数据",ta2607,5246,3108,4450,979
2026-03-27,国泰君安,化工,PTA,"净空4019
(减少8424)
净持仓数据",ta2608,414,45,367,29
2026-03-27,国泰君安,化工,PTA,"净空4019
(减少8424)
净持仓数据",ta2609,49087,3398,49680,18833
2026-03-27,国泰君安,化工,PTA,"净空4019
(减少8424)
净持仓数据",ta2701,1137,49,3058,685
2026-03-27,国泰君安,化工,瓶片,"净空1025
(减少24)
净持仓数据",pr2604,327,19,0,0
2026-03-27,国泰君安,化工,瓶片,"净空1025
(减少24)
净持仓数据",pr2605,1846,19,3935,-141
2026-03-27,国泰君安,化工,瓶片,"净空1025
(减少24)
净持仓数据",pr2606,1117,-112,380,43
2026-03-27,国泰君安,化工,多晶硅,"净空3962
(增加95)
净持仓数据",ps2605,1952,101,5914,196
2026-03-27,国泰君安,化工,对二甲苯,"净空46302
(减少2227)
净持仓数据",px2604,733,-155,24,0
2026-03-27,国泰君安,化工,对二甲苯,"净空46302
(减少2227)
净持仓数据",px2605,20853,2198,53340,-1353
2026-03-27,国泰君安,化工,对二甲苯,"净空46302
(减少2227)
净持仓数据",px2606,7898,831,13886,591
2026-03-27,国泰君安,化工,对二甲苯,"净空46302
(减少2227)
净持仓数据",px2607,5642,-121,4928,526
2026-03-27,国泰君安,化工,对二甲苯,"净空46302
(减少2227)
净持仓数据",px2608,220,-28,210,59
2026-03-27,国泰君安,化工,对二甲苯,"净空46302
(减少2227)
净持仓数据",px2609,7600,-327,16860,348
2026-03-27,国泰君安,化工,苯乙烯,"净空5312
(减少2812)
净持仓数据",eb2604,0,-11214,0,-10174
2026-03-27,国泰君安,化工,苯乙烯,"净空5312
(减少2812)
净持仓数据",eb2605,37081,5714,40193,1372
2026-03-27,国泰君安,化工,苯乙烯,"净空5312
(减少2812)
净持仓数据",eb2606,9718,-142,13585,-147
2026-03-27,国泰君安,化工,苯乙烯,"净空5312
(减少2812)
净持仓数据",eb2607,7335,-159,5703,544
2026-03-27,国泰君安,化工,苯乙烯,"净空5312
(减少2812)
净持仓数据",eb2608,2143,286,2108,78
2026-03-27,国泰君安,化工,尿素,"净空21775
(增加1335)
净持仓数据",ur2604,433,0,21,-22
2026-03-27,国泰君安,化工,尿素,"净空21775
(增加1335)
净持仓数据",ur2605,10602,-838,26142,708
2026-03-27,国泰君安,化工,尿素,"净空21775
(增加1335)
净持仓数据",ur2606,662,-16,859,52
2026-03-27,国泰君安,化工,尿素,"净空21775
(增加1335)
净持仓数据",ur2607,1350,-18,791,-52
2026-03-27,国泰君安,化工,尿素,"净空21775
(增加1335)
净持仓数据",ur2608,0,0,444,-17
2026-03-27,国泰君安,化工,尿素,"净空21775
(增加1335)
净持仓数据",ur2609,7710,407,14275,201
2026-03-27,国泰君安,化工,乙二醇,"净空11456
(减少1072)
净持仓数据",eg2605,21037,2766,35860,2388
2026-03-27,国泰君安,化工,乙二醇,"净空11456
(减少1072)
净持仓数据",eg2606,4453,125,3950,124
2026-03-27,国泰君安,化工,乙二醇,"净空11456
(减少1072)
净持仓数据",eg2607,2889,133,4143,119
2026-03-27,国泰君安,化工,乙二醇,"净空11456
(减少1072)
净持仓数据",eg2609,11691,619,7573,-60
2026-03-27,国泰君安,原油,燃料油,"净空21591
(减少6569)
净持仓数据",fu2604,733,0,2500,0
2026-03-27,国泰君安,原油,燃料油,"净空21591
(减少6569)
净持仓数据",fu2605,16033,-147,27376,-3302
